UPE | Compare Intel® Products
05/06/2024 11:08:33 AM
,Intel® Core™ i3-5005U Processor (3M Cache- 2.00 GHz)

Essentials
Product Collection,5th Generation Intel® Core™ i3 Processors
Code Name,Products formerly Broadwell
Vertical Segment,Mobile
Processor Number,i3-5005U
Lithography,14 nm

CPU Specifications
Total Cores,2
Total Threads,4
Processor Base Frequency,2.00 GHz
Cache,3 MB
Bus Speed,5 GT/s
TDP,15 W
Configurable TDP-down Base Frequency,600 MHz
Configurable TDP-down,10 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q1'15
Servicing Status,End of Servicing Lifetime
End of Servicing Updates Date,Wednesday |  June 30 |  2021
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),16 GB
Memory Types,DDR3L 1333/1600  LPDDR 1333 /1600
Max # of Memory Channels,2
Max Memory Bandwidth,25.6 GB/s

GPU Specifications
GPU Name‡,Intel® HD Graphics 5500
Graphics Base Frequency,300 MHz
Graphics Max Dynamic Frequency,850 MHz
Graphics Video Max Memory,16 GB
Graphics Output,eDP/DP/HDMI
Max Resolution (HDMI)‡,2560x1600@60Hz
Max Resolution (DP)‡,3840x2160@60Hz
Max Resolution (VGA)‡,N/A
DirectX* Support,11.2/12
OpenGL* Support,4.3
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,Yes
Intel® Flexible Display Interface (Intel® FDI),Yes
Intel® Clear Video HD Technology,Yes
Intel® Clear Video Technology,Yes
# of Displays Supported ‡,3
Device ID,0x1616

Expansion Options
PCI Express Revision,2.0
PCI Express Configurations ‡,4x1 2x4
Max # of PCI Express Lanes,12

Package Specifications
Sockets Supported,FCBGA1168
Max CPU Configuration,1
TJUNCTION,105°C
Package Size,40mm x 24mmx 1.3mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,No
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Fast Memory Access,Yes
Intel® Flex Memory Access,Yes
Intel® Identity Protection Technology ‡,Yes
Intel® Smart Response Technology,Yes

Security & Reliability
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Trusted Execution Technology ‡,No
Execute Disable Bit ‡,Yes
Intel® OS Guard,Yes
Intel® Stable IT Platform Program (SIPP),No
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/84695/intel-core-i35005u-processor-3m-cache-2-00-ghz/specifications.html
