UPE | Compare Intel® Products
05/06/2024 10:58:12 AM
,Intel® Core™ i5-8400H Processor (8M Cache- up to 4.20 GHz)

Essentials
Product Collection,8th Generation Intel® Core™ i5 Processors
Code Name,Products formerly Coffee Lake
Vertical Segment,Mobile
Processor Number,i5-8400H
Lithography,14 nm
Recommended Customer Price,$250.00

CPU Specifications
Total Cores,4
Total Threads,8
Max Turbo Frequency,4.20 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,4.20 GHz
Processor Base Frequency,2.50 GHz
Cache,8 MB Intel® Smart Cache
Bus Speed,8 GT/s
TDP,45 W
Configurable TDP-down Base Frequency,2.00 GHz
Configurable TDP-down,35 W

Supplemental Information
Marketing Status,Launched
Launch Date,Q2'18
Embedded Options Available,Yes
Use Conditions,Embedded Broad Market Commercial Temp |  PC/Client/Tablet
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),64 GB
Memory Types,DDR4-2666 |  LPDDR3-2133
Max # of Memory Channels,2
Max Memory Bandwidth,41.8 GB/s
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics 630
Graphics Base Frequency,350 MHz
Graphics Max Dynamic Frequency,1.10 GHz
Graphics Video Max Memory,64 GB
Graphics Output,eDP/DP/HDMI/DVI
4K Support,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096x2304@30Hz
Max Resolution (DP)‡,4096x2304@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2304@60Hz
Max Resolution (VGA)‡,N/A
DirectX* Support,12
OpenGL* Support,4.5
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,Yes
Intel® Clear Video HD Technology,Yes
Intel® Clear Video Technology,Yes
# of Displays Supported ‡,3
Device ID,0x3E9B

Expansion Options
PCI Express Revision,3.0
PCI Express Configurations ‡,Up to 1x16 |  2x8 |  1x8+2x4
Max # of PCI Express Lanes,16

Package Specifications
Sockets Supported,FCBGA1440
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,42mm x 28mm

Advanced Technologies
Intel® Optane™ Memory Supported ‡,Yes
Intel® Speed Shift Technology,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,Yes
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Intel® My WiFi Technology,Yes
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Flex Memory Access,Yes
Intel® Identity Protection Technology ‡,Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® ME
Intel® Memory Protection Extensions (Intel® MPX),Yes
Intel® OS Guard,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Intel® Stable IT Platform Program (SIPP),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/134877/intel-core-i58400h-processor-8m-cache-up-to-4-20-ghz/specifications.html
